model,explain_method,seed,function,samples,dimension,noise,variable_index,score,is_active,source_file
KAN,perm,0,core_d100_nonoracle_scores,1024,100,0.0,68,0.0224246978759765,0,core_d100_nonoracle_scores.csv
KAN,perm,0,core_d100_nonoracle_scores,1024,100,0.0,69,0.0022008419036865,0,core_d100_nonoracle_scores.csv
KAN,perm,0,core_d100_nonoracle_scores,1024,100,0.0,70,0.0287938918918371,0,core_d100_nonoracle_scores.csv
KAN,perm,0,core_d100_nonoracle_scores,1024,100,0.0,71,0.1048711910843849,0,core_d100_nonoracle_scores.csv
KAN,perm,0,core_d100_nonoracle_scores,1024,100,0.0,72,0.010472297668457,0,core_d100_nonoracle_scores.csv
KAN,perm,0,core_d100_nonoracle_scores,1024,100,0.0,73,0.0,0,core_d100_nonoracle_scores.csv
KAN,perm,0,core_d100_nonoracle_scores,1024,100,0.0,74,0.0239712391048669,0,core_d100_nonoracle_scores.csv
KAN,perm,0,core_d100_nonoracle_scores,1024,100,0.0,75,0.0049804844893515,0,core_d100_nonoracle_scores.csv
KAN,perm,0,core_d100_nonoracle_scores,1024,100,0.0,76,0.0658366680145263,0,core_d100_nonoracle_scores.csv
KAN,perm,0,core_d100_nonoracle_scores,1024,100,0.0,77,0.0743180885910987,0,core_d100_nonoracle_scores.csv
KAN,perm,0,core_d100_nonoracle_scores,1024,100,0.0,78,0.0,0,core_d100_nonoracle_scores.csv
KAN,perm,0,core_d100_nonoracle_scores,1024,100,0.0,79,0.0978891849517822,0,core_d100_nonoracle_scores.csv
KAN,perm,0,core_d100_nonoracle_scores,1024,100,0.0,80,0.1287763118743896,0,core_d100_nonoracle_scores.csv
KAN,perm,0,core_d100_nonoracle_scores,1024,100,0.0,81,0.0,0,core_d100_nonoracle_scores.csv
KAN,perm,0,core_d100_nonoracle_scores,1024,100,0.0,82,0.0,0,core_d100_nonoracle_scores.csv
KAN,perm,0,core_d100_nonoracle_scores,1024,100,0.0,83,0.0061638355255126,0,core_d100_nonoracle_scores.csv
KAN,perm,0,core_d100_nonoracle_scores,1024,100,0.0,84,0.0,0,core_d100_nonoracle_scores.csv
